Mesh; Label; Surface Area; Volume; A3[0]; A3[1]; A3[2]; A3[3]; A3[4]; A3[5]; A3[6]; A3[7]; A3[8]; A3[9]; D1[0]; D1[1]; D1[2]; D1[3]; D1[4]; D1[5]; D1[6]; D1[7]; D1[8]; D1[9]; D1[10]; D1[11]; D2[0]; D2[1]; D2[2]; D2[3]; D2[4]; D2[5]; D2[6]; D2[7]; D2[8]; D2[9]; D3[0]; D3[1]; D3[2]; D3[3]; D3[4]; D3[5]; D3[6]; D3[7]; D3[8]; D3[9]; D3[10]; D3[11]; D3[12]; D3[13]; D3[14]; D4[0]; D4[1]; D4[2]; D4[3]; D4[4]; D4[5]; D4[6]; D4[7]; D4[8]; D4[9]; D4[10]; D4[11]; D4[12]; D4[13]; D4[14]; Diameter; Eccentricity; Compactness; Rectangularity; 
Biplane/m1119.obj;Biplane;0.412103;0.281874;0.151285;0.195134;0.162862;0.145965;0.1127;0.080814;0.059758;0.045863;0.031902;0.013715;0.0052;0.0422;0.127;0.1664;0.1446;0.0994;0.0894;0.1164;0.0718;0.0868;0.0446;0.0062;0.043885;0.135766;0.215665;0.174586;0.144653;0.12672;0.097861;0.044662;0.013066;0.003135;0.004249;0.037252;0.092997;0.141786;0.166932;0.160907;0.128407;0.094204;0.062651;0.039603;0.029033;0.019713;0.012116;0.007045;0.003105;0.501266;0.009459;0.021944;0.036061;0.048329;0.057131;0.059832;0.057271;0.049545;0.039682;0.031313;0.023302;0.018254;0.014413;0.032197;0.303496;0.477273;0.281874;0.113346; 
Biplane/m1123.obj;Biplane;0.395683;0.278889;0.162553;0.20703;0.167491;0.12839;0.097958;0.076728;0.060433;0.050123;0.034718;0.014576;0.003;0.0722;0.1226;0.1422;0.1442;0.1352;0.121;0.108;0.0752;0.0612;0.0152;0;0.046811;0.165501;0.196628;0.200111;0.187015;0.114878;0.050692;0.0246;0.011504;0.002259;0.004828;0.04343;0.107487;0.161745;0.194652;0.182712;0.129567;0.077875;0.047868;0.02881;0.014683;0.005074;0.00115;0.00012;0;0.499992;0.010001;0.024088;0.039803;0.05411;0.062441;0.065191;0.061228;0.05303;0.042912;0.031839;0.022881;0.015402;0.009723;0.00736;0.346332;0.477657;0.278889;0.170474; 
Biplane/m1127.obj;Biplane;0.313519;0.263507;0.181578;0.196673;0.149749;0.126625;0.098134;0.075568;0.061946;0.051482;0.040487;0.017758;0.0044;0.075;0.1424;0.1372;0.1316;0.099;0.081;0.1032;0.0682;0.0976;0.0548;0.0056;0.053966;0.156405;0.185334;0.159719;0.141787;0.121008;0.104061;0.056374;0.016907;0.004438;0.00671;0.0525;0.114911;0.161539;0.175597;0.152742;0.119117;0.076412;0.046778;0.033588;0.024351;0.016332;0.010317;0.005835;0.003272;0.501964;0.011704;0.026311;0.041557;0.05444;0.060873;0.060925;0.056545;0.047521;0.037463;0.028587;0.021817;0.016739;0.012607;0.020947;0.332683;0.477612;0.263507;0.156788; 
Jet/m1168.obj;Jet;0.224498;0.249559;0.191606;0.191623;0.14934;0.112427;0.09054;0.07478;0.062621;0.056034;0.048121;0.022908;0.0098;0.0838;0.1426;0.1922;0.1852;0.1732;0.1064;0.043;0.0224;0.0148;0.013;0.0136;0.079113;0.209018;0.238633;0.193146;0.129437;0.076138;0.042303;0.021614;0.009334;0.001264;0.014021;0.08912;0.176943;0.219601;0.191104;0.134983;0.085822;0.047642;0.0237;0.010676;0.004652;0.00145;0.000279;0.000007;0;0.507928;0.027578;0.058283;0.080396;0.090015;0.083787;0.065541;0.042666;0.023667;0.011867;0.005297;0.002042;0.000711;0.000176;0.000047;0.289169;0.479137;0.249559;0.144406; 
Jet/m1235.obj;Jet;0.260411;0.251779;0.192983;0.183839;0.147817;0.121444;0.091747;0.072954;0.061005;0.055718;0.047483;0.02501;0.0174;0.0678;0.1406;0.1592;0.161;0.173;0.1196;0.0604;0.0428;0.0388;0.0098;0.0096;0.070386;0.180069;0.211466;0.207366;0.155758;0.096807;0.049747;0.020699;0.006598;0.001105;0.013516;0.085971;0.171893;0.200929;0.177289;0.132802;0.090929;0.058365;0.035915;0.018077;0.008422;0.003774;0.001546;0.000465;0.000106;0.505244;0.025683;0.052499;0.0733;0.083198;0.079532;0.065505;0.047669;0.031253;0.018225;0.009701;0.004632;0.002076;0.000971;0.000512;0.22011;0.479554;0.251779;0.094838; 
Jet/m1250.obj;Jet;0.334279;0.266728;0.228496;0.188743;0.139824;0.107683;0.084266;0.066105;0.058268;0.058814;0.048377;0.019424;0.0564;0.1578;0.1394;0.1306;0.1482;0.0972;0.0778;0.0802;0.0798;0.0316;0.001;0;0.103036;0.195852;0.215596;0.180905;0.156067;0.094587;0.038044;0.012081;0.003463;0.000368;0.019068;0.135203;0.212998;0.199552;0.154397;0.108487;0.068722;0.04468;0.027291;0.016179;0.008655;0.003754;0.000911;0.000103;0;0.505476;0.032049;0.066896;0.086696;0.083595;0.069891;0.052808;0.037379;0.025203;0.016668;0.010658;0.006391;0.003423;0.001804;0.001064;0.185857;0.47825;0.266728;0.153419; 
Quadruped/m105.obj;Quadruped;0.282184;0.403483;0.144596;0.207276;0.173;0.132194;0.103347;0.083744;0.066411;0.04966;0.030303;0.009469;0;0.014;0.1496;0.163;0.1766;0.1356;0.152;0.0656;0.0608;0.0518;0.0306;0.0004;0.04902;0.149589;0.215884;0.196857;0.173024;0.109425;0.053867;0.03483;0.014141;0.003364;0.004548;0.04079;0.100471;0.166234;0.200995;0.190642;0.136493;0.081958;0.043203;0.019713;0.009193;0.004033;0.001496;0.000219;0.00001;0.502676;0.009428;0.021957;0.03741;0.050306;0.060061;0.065612;0.065838;0.059801;0.048574;0.034776;0.022195;0.012436;0.005792;0.003138;0.443466;0.477854;0.403483;0.509879; 
Humanoid/m118.obj;Humanoid;0.180788;0.256554;0.288922;0.189498;0.101711;0.072891;0.062308;0.057983;0.058368;0.06682;0.067508;0.03399;0.0054;0.1212;0.1658;0.1416;0.139;0.119;0.0896;0.079;0.0696;0.0416;0.0282;0;0.09209;0.225189;0.197773;0.143926;0.113157;0.088995;0.068067;0.044005;0.019883;0.006916;0.014097;0.107507;0.224452;0.262363;0.2082;0.123685;0.047818;0.011095;0.000781;0;0;0;0;0;0;0.502065;0.028294;0.064338;0.094479;0.104891;0.094041;0.065054;0.032661;0.011312;0.002489;0.000337;0.000039;0;0;0;0.206278;0.481161;0.256554;0.563497; 
Humanoid/m129.obj;Humanoid;0.287244;0.251443;0.304871;0.189166;0.09689;0.070191;0.062903;0.055569;0.054724;0.061387;0.068346;0.035952;0.0596;0.1212;0.1812;0.2338;0.1294;0.0304;0.0642;0.079;0.0316;0.016;0.0228;0.0308;0.146553;0.248525;0.206789;0.14113;0.095752;0.065589;0.044841;0.030192;0.012658;0.007971;0.030177;0.19001;0.276946;0.236755;0.15323;0.077899;0.029505;0.005203;0.000276;0;0;0;0;0;0;0.510181;0.05321;0.104377;0.124834;0.105304;0.063873;0.027339;0.008475;0.002008;0.000347;0.000046;0.000005;0.000002;0;0;0.253627;0.482567;0.251443;0.474773; 
Humanoid/m140.obj;Humanoid;0.219457;0.300502;0.204207;0.203742;0.138524;0.102343;0.080931;0.069573;0.065367;0.064576;0.05118;0.019557;0.008;0.1066;0.1128;0.171;0.1832;0.1354;0.1008;0.0556;0.0472;0.0282;0.0512;0;0.067928;0.2045;0.235289;0.176865;0.117296;0.084357;0.058982;0.0368;0.013673;0.004309;0.008798;0.069247;0.160532;0.222438;0.213703;0.16134;0.095597;0.043722;0.018663;0.005812;0.00015;0;0;0;0;0.50438;0.016562;0.039988;0.064228;0.081511;0.086746;0.079619;0.060998;0.037525;0.018757;0.007271;0.002006;0.000377;0.000031;0.000002;0.195736;0.479312;0.300502;0.607528; 
Humanoid/m151.obj;Humanoid;0.261452;0.316949;0.258779;0.203808;0.109531;0.07876;0.067069;0.063592;0.063685;0.068775;0.061866;0.024135;0.0044;0.1084;0.1804;0.1574;0.149;0.0996;0.0722;0.0752;0.0736;0.0196;0.0358;0.0244;0.082218;0.233727;0.20645;0.151698;0.117058;0.081342;0.052105;0.045099;0.019415;0.010887;0.010161;0.086214;0.199213;0.252504;0.217234;0.143455;0.068193;0.020807;0.002208;0.00001;0;0;0;0;0;0.502842;0.021316;0.050394;0.080533;0.098245;0.095442;0.07464;0.045084;0.020729;0.007894;0.002408;0.000428;0.000042;0.000003;0;0.220697;0.479176;0.316949;0.820686; 
Humanoid/m159.obj;Humanoid;0.202539;0.290288;0.265142;0.193807;0.107423;0.074923;0.063641;0.059748;0.064779;0.072675;0.071957;0.025904;0;0.124;0.1776;0.129;0.1222;0.1198;0.1054;0.067;0.076;0.069;0.01;0;0.082566;0.219726;0.212133;0.149579;0.118441;0.091313;0.066475;0.037417;0.016589;0.005762;0.010134;0.083205;0.185162;0.250017;0.232312;0.150294;0.068622;0.018074;0.002158;0.00002;0;0;0;0;0;0.503335;0.022452;0.052372;0.078727;0.095972;0.095016;0.076825;0.048663;0.021127;0.004952;0.000543;0.000015;0;0;0;0.203981;0.480257;0.290288;0.758967; 
Humanoid/m171.obj;Humanoid;0.201846;0.254895;0.239744;0.218069;0.129597;0.089466;0.070723;0.063675;0.061533;0.059426;0.050199;0.017569;0.0014;0.0904;0.1146;0.1898;0.1668;0.1096;0.1052;0.1082;0.038;0.015;0.026;0.035;0.078496;0.207973;0.207724;0.170138;0.125874;0.089781;0.056096;0.031745;0.020191;0.011981;0.010773;0.078244;0.169732;0.229796;0.217836;0.153629;0.084964;0.037388;0.013908;0.003544;0.000186;0;0;0;0;0.503604;0.019312;0.045102;0.072094;0.089261;0.091178;0.079082;0.054858;0.02949;0.012075;0.003174;0.000643;0.000117;0.000011;0;0.191844;0.480307;0.254895;0.28799; 
Humanoid/m187.obj;Humanoid;0.516078;0.414468;0.131845;0.215226;0.192953;0.145829;0.108388;0.078706;0.056107;0.038472;0.023939;0.008535;0.0096;0.0764;0.1496;0.1558;0.2236;0.188;0.0788;0.0454;0.0192;0.028;0.0254;0.0002;0.051021;0.186498;0.261233;0.221168;0.152345;0.073729;0.035596;0.013962;0.003184;0.001264;0.004864;0.046705;0.126136;0.195194;0.208563;0.176395;0.12331;0.070022;0.032142;0.012512;0.003395;0.000688;0.000057;0.00002;0;0.501267;0.011252;0.028523;0.048081;0.064052;0.071952;0.070153;0.061456;0.04932;0.035166;0.02421;0.015646;0.009286;0.005222;0.004412;0.365546;0.477194;0.414468;0.330635; 
Humanoid/m255.obj;Humanoid;0.335661;0.329907;0.23584;0.180225;0.119463;0.097226;0.080924;0.064809;0.065513;0.065055;0.062089;0.028857;0.0034;0.1086;0.1474;0.0928;0.0956;0.14;0.1174;0.1094;0.0676;0.0612;0.0324;0.0242;0.078745;0.182916;0.178865;0.156206;0.133826;0.101663;0.075959;0.055727;0.030779;0.005314;0.009882;0.078028;0.179527;0.228878;0.198126;0.129567;0.069596;0.04318;0.027683;0.016841;0.009905;0.005004;0.002344;0.000981;0.000459;0.502647;0.019128;0.043633;0.067848;0.081332;0.082282;0.069803;0.051749;0.034359;0.021999;0.013325;0.007085;0.003366;0.001129;0.000316;0.190819;0.480532;0.329907;0.360261; 
Insect/m26.obj;Insect;0.257048;0.300712;0.147252;0.21769;0.181452;0.135273;0.09977;0.076678;0.060067;0.045857;0.027473;0.008488;0.0204;0.1226;0.1266;0.1454;0.1538;0.113;0.0966;0.089;0.0614;0.0194;0.0106;0.0412;0.051568;0.141836;0.219308;0.214899;0.168436;0.092647;0.056961;0.030242;0.0164;0.007702;0.007867;0.05498;0.115264;0.160322;0.177492;0.164871;0.125807;0.084262;0.049876;0.029026;0.016023;0.008794;0.003671;0.00131;0.000436;0.502297;0.01093;0.026283;0.041373;0.052514;0.058478;0.059685;0.055904;0.050165;0.042876;0.033378;0.024523;0.017019;0.010717;0.013858;0.613543;0.477307;0.300712;0.10825; 
Sword/m705.obj;Sword;0.134516;0.209579;0.210385;0.185455;0.144872;0.113678;0.090407;0.071126;0.064047;0.052447;0.045175;0.02241;0.1484;0.2752;0.1984;0.1808;0.1466;0.0096;0.0084;0.0084;0.0032;0.0054;0.0034;0.0122;0.254595;0.336733;0.275851;0.080685;0.02243;0.01234;0.009185;0.005224;0.002239;0.000716;0.069636;0.314836;0.280902;0.16133;0.089107;0.048533;0.02365;0.008548;0.002667;0.000655;0.000136;0;0;0;0;0.520247;0.103253;0.15071;0.121487;0.067547;0.027025;0.007484;0.001785;0.000431;0.000028;0.000003;0;0;0;0;0.186278;0.480402;0.209579;0.175608; 
Sword/m710.obj;Sword;0.088086;0.200786;0.454963;0.10233;0.05248;0.03809;0.03275;0.029432;0.033339;0.046572;0.078298;0.131748;0.0644;0.101;0.1716;0.1784;0.125;0.1032;0.1018;0.0292;0.0312;0.0314;0.0266;0.0362;0.261183;0.234553;0.11855;0.092468;0.085293;0.074516;0.066296;0.044871;0.019236;0.003035;0.167993;0.392023;0.271955;0.114379;0.038509;0.01299;0.002025;0.000126;0;0;0;0;0;0;0;0.573306;0.231608;0.155163;0.036067;0.003657;0.000195;0.000003;0;0;0;0;0;0;0;0;0.18356;0.584565;0.200786;0.211628; 
Knife/m723.obj;Knife;0.079649;0.200436;0.324501;0.165024;0.091853;0.067339;0.057584;0.053042;0.057065;0.059638;0.067049;0.056905;0.1622;0.2366;0.2056;0.1902;0.0894;0.0218;0.0174;0.0156;0.0124;0.011;0.0088;0.029;0.334853;0.297953;0.150753;0.080506;0.049936;0.033048;0.02253;0.0163;0.009941;0.00418;0.148931;0.447661;0.240724;0.104411;0.034043;0.01558;0.007182;0.00139;0.000076;0;0;0;0;0;0;0.537645;0.159658;0.167128;0.087394;0.033747;0.010681;0.003259;0.000478;0.00001;0;0;0;0;0;0;0.183511;0.487997;0.200436;0.098518; 
BuildingNonResidential/m385.obj;BuildingNonResidential;0.808879;0.620201;0.104338;0.191782;0.197727;0.16789;0.126794;0.087611;0.058119;0.03787;0.021133;0.006736;0.0044;0.0138;0.0782;0.149;0.1302;0.1046;0.1542;0.1636;0.1212;0.0604;0.0142;0.0062;0.022789;0.096846;0.170506;0.214242;0.199435;0.137945;0.093652;0.049906;0.013146;0.001533;0.001423;0.017236;0.055878;0.10486;0.148825;0.169269;0.159355;0.130372;0.092172;0.058524;0.034393;0.016691;0.006849;0.002607;0.001546;0.502379;0.003742;0.010074;0.018262;0.027864;0.036526;0.043465;0.047994;0.0501;0.049351;0.046109;0.040258;0.033809;0.027212;0.062855;0.510001;0.477007;0.620201;0.316653; 
BuildingNonResidential/m397.obj;BuildingNonResidential;1652567;1052468;0.078397;0.173878;0.21746;0.20432;0.154617;0.093875;0.046465;0.020239;0.008252;0.002497;0;0;0.0036;0.0092;0.0122;0.0172;0.0228;0.0998;0.2168;0.2916;0.205;0.1218;0.010827;0.039079;0.062494;0.086746;0.101713;0.127188;0.156117;0.157769;0.14104;0.117028;0.000299;0.003468;0.011783;0.023284;0.035117;0.04843;0.062202;0.078241;0.094473;0.10869;0.117169;0.118665;0.113059;0.092987;0.092132;0.502331;0.000919;0.00247;0.004573;0.007235;0.010463;0.013583;0.01684;0.020031;0.022788;0.025502;0.02792;0.029452;0.030503;0.285389;1055746;0.47694;1052468;0.371; 
Chess/m1605.obj;Chess;0.470859;0.79209;0.109515;0.184035;0.200593;0.17309;0.134106;0.087391;0.054309;0.033152;0.018141;0.005669;0;0;0.0326;0.0718;0.1266;0.2074;0.1002;0.1558;0.139;0.1204;0.0394;0.0068;0.023843;0.078377;0.127895;0.168715;0.200868;0.199644;0.09416;0.060882;0.036352;0.009265;0.001553;0.01573;0.042266;0.074391;0.108328;0.13248;0.147711;0.144313;0.124706;0.087168;0.05769;0.037884;0.01966;0.005616;0.000505;0.500813;0.003221;0.008185;0.014699;0.022517;0.030134;0.036472;0.041653;0.044643;0.045502;0.044518;0.041936;0.037961;0.033464;0.094282;0.513256;0.477045;0.79209;0.578019; 
Tool/m1114.obj;Tool;0.065441;0.210357;0.472172;0.093476;0.050515;0.036604;0.031889;0.030047;0.033841;0.045976;0.077732;0.127748;0.109;0.1192;0.0856;0.085;0.1198;0.121;0.113;0.0896;0.0334;0.023;0.0244;0.077;0.192628;0.18605;0.145469;0.123297;0.08587;0.076775;0.067371;0.051707;0.047169;0.023664;0.061371;0.299329;0.351676;0.175397;0.090902;0.021236;0.00009;0;0;0;0;0;0;0;0;0.523781;0.118422;0.159148;0.120861;0.05739;0.017611;0.002714;0.000073;0;0;0;0;0;0;0;0.183526;0.489276;0.210357;0.673718; 
Car/m1524.obj;Car;0.435289;0.696787;0.140579;0.216988;0.170789;0.127273;0.107643;0.088325;0.069862;0.046967;0.024378;0.007195;0;0.004;0.0268;0.0934;0.1878;0.143;0.1682;0.132;0.1054;0.1144;0.025;0;0.033506;0.108191;0.169969;0.200609;0.149708;0.11652;0.098021;0.072894;0.038134;0.012449;0.002866;0.023427;0.059502;0.101452;0.139801;0.164512;0.171348;0.148127;0.10597;0.060456;0.020082;0.002457;0;0;0;0.500887;0.005912;0.014462;0.023773;0.033879;0.042573;0.050693;0.054416;0.056025;0.054051;0.049613;0.042482;0.032041;0.021228;0.017965;0.35034;0.477634;0.696786;1488039; 
Car/m1531.obj;Car;0.318644;0.581819;0.160754;0.218946;0.148393;0.112085;0.098257;0.086769;0.074604;0.058787;0.032082;0.009323;0;0;0.0066;0.179;0.1374;0.1378;0.1332;0.1282;0.099;0.1252;0.0536;0;0.040333;0.109853;0.173014;0.201853;0.132621;0.113007;0.093224;0.071311;0.041706;0.023077;0.003641;0.0275;0.068263;0.110147;0.141753;0.156605;0.157855;0.142647;0.110492;0.062804;0.017512;0.000781;0;0;0;0.500752;0.007363;0.016907;0.027679;0.037792;0.045959;0.052102;0.055311;0.05553;0.052182;0.046748;0.038706;0.029107;0.018794;0.015067;0.333538;0.477757;0.581819;1371524; 
Car/m1561.obj;Car;0.618066;0.63243;0.11549;0.206821;0.187327;0.146238;0.118765;0.089177;0.06538;0.040736;0.022755;0.007311;0.0044;0.0132;0.056;0.1032;0.1662;0.166;0.1746;0.1596;0.1156;0.023;0.0076;0.0106;0.02664;0.119934;0.188558;0.217546;0.180298;0.127755;0.085283;0.041557;0.01032;0.00211;0.001759;0.019175;0.059239;0.113963;0.162912;0.180837;0.165722;0.130684;0.087301;0.048028;0.021602;0.00668;0.001652;0.000399;0.000047;0.501033;0.004529;0.01155;0.020843;0.030588;0.041542;0.049315;0.055158;0.056602;0.05432;0.048512;0.040888;0.030934;0.02224;0.031946;0.847577;0.477252;0.63243;0.729867; 
